"","gen","cultiv","comp","time","treat_batch","treat","rep","plant","sample_harvest","dna_extract_batch","tube_nb","dna_extract_date","qubit1","qubit2","qubit_mean","pcr_batch"
"2_BR15_1C3",2,"B","R",15,1,"C",3,"BC06","13/04/2020",1,51,"16/12/2020",8,8.48,8.24,1
"2_BR15_1C4",2,"B","R",15,1,"C",4,"BC07","13/04/2020",2,52,"23/12/2020",6.04,6.12,6.08,2
"2_BR15_1C5",2,"B","R",15,1,"C",5,"BC08","13/04/2020",3,53,"28/12/2020",9.88,10.1,9.99,3
"2_BR15_1V1",2,"B","R",15,1,"V",1,"BV02","13/04/2020",1,54,"16/12/2020",9.24,9.4,9.32,1
"2_BR15_1V3",2,"B","R",15,1,"V",3,"BV22","13/04/2020",2,55,"23/12/2020",8.32,8.44,8.38,2
"2_BR15_1V5",2,"B","R",15,1,"V",5,"BV30","13/04/2020",4,56,"29/12/2020",9,9.2,9.1,4
"2_BR15_2C2",2,"B","R",15,2,"C",2,"BC03","13/04/2020",1,75,"16/12/2020",11.1,10.7,10.9,1
"2_BR15_2C4",2,"B","R",15,2,"C",4,"BC09","13/04/2020",2,76,"23/12/2020",NA,4.72,4.72,2
"2_BR15_2C5",2,"B","R",15,2,"C",5,"BC10","13/04/2020",3,77,"28/12/2020",9.92,10.5,10.21,3
"2_BR15_2V1",2,"B","R",15,2,"V",1,"BV03","13/04/2020",1,78,"16/12/2020",12.9,12.9,12.9,1
"2_BR15_2V4",2,"B","R",15,2,"V",4,"BV18","13/04/2020",2,79,"23/12/2020",6.28,6.32,6.3,2
"2_BR15_2V5",2,"B","R",15,2,"V",5,"BV23","13/04/2020",4,80,"29/12/2020",21.3,22.1,21.7,4
